Time(microseconds),data_set_0,data_set_1,data_set_2,data_set_3,data_set_4
5652.4,646,604,601,601,601
5661.231875,646,604,601,601,601
5670.06375,646,604,601,601,601
5678.895625,646,604,601,601,601
5687.7275,646,604,600,601,601
5696.559375,646,604,601,601,601
5705.39125,646,604,600,601,601
5714.223125,646,604,601,601,601
5723.055,646,604,600,601,600
5731.886875,646,604,600,601,601
5740.71875,646,604,600,601,600
5749.550625,646,604,601,601,600
5758.3825,646,604,600,601,601
5767.2143750000005,646,604,601,601,600
5776.04625,646,604,601,601,600
5784.878125,646,604,600,601,600
5793.71,646,604,601,601,600
5802.541875,646,604,601,601,600
5811.37375,646,604,601,601,601
5820.2056250000005,646,604,600,601,600
5829.0375,646,604,600,601,601
5837.869375,646,604,600,601,600
5846.70125,646,604,600,601,600
5855.533125,646,604,600,601,600
5864.365,646,604,601,600,600
5873.196875000001,646,604,601,601,601
5882.02875,646,604,601,601,600
5890.860625,646,604,601,601,600
5899.6925,646,604,600,601,601
5908.524375,646,604,600,601,600
5917.35625,646,604,600,601,600
5926.188125,646,604,600,600,600
5935.02,646,604,600,601,600
5943.851875,646,604,600,601,600
5952.68375,646,604,600,600,600
5961.515625,646,604,600,600,600
5970.3475,646,604,601,600,600
5979.179375,646,604,600,600,600
5988.0112500000005,646,604,600,600,601
5996.843125,646,604,600,600,600
6005.675,646,604,600,600,600
6014.506875,646,604,600,600,600
6023.33875,646,604,601,601,600
6032.170625,646,604,601,601,600
6041.0025000000005,646,604,600,600,600
6049.834375,646,604,600,600,600
6058.66625,646,604,600,600,600
6067.498125,646,604,600,600,600
6076.33,646,604,600,600,600
6085.161875,646,604,600,600,600
6093.993750000001,646,604,600,600,600
6102.825625,646,604,600,601,600
6111.6575,646,604,600,600,600
6120.489375,646,604,600,600,601
6129.32125,646,604,600,600,600
6138.153125,646,604,600,600,600
6146.985,646,604,600,601,600
6155.816875,646,604,600,600,600
6164.64875,646,604,600,600,600
6173.480625,646,604,600,601,600
6182.3125,646,604,600,601,600
6191.144375,646,604,600,600,600
6199.97625,646,604,600,600,600
6208.8081250000005,646,604,600,600,600
6217.64,646,604,600,600,600
6226.471875,646,604,600,600,600
6235.30375,646,604,600,600,600
6244.135625,646,604,600,600,600
6252.9675,646,604,600,600,600
6261.7993750000005,646,604,600,600,600
6270.63125,646,604,600,600,600
6279.463125,646,604,600,600,600
6288.295,646,604,600,600,600
6297.126875,646,604,600,600,600
6305.95875,646,604,600,600,600
6314.790625000001,646,604,600,600,600
6323.6225,646,604,600,600,600
6332.454375,646,604,600,600,600
6341.28625,646,604,600,600,600
6350.118125,646,604,600,600,600
6358.95,646,604,600,600,600
6367.781875,646,604,600,600,600
6376.61375,646,604,600,600,600
6385.445625,646,604,600,600,600
6394.2775,646,604,600,600,600
6403.109375,646,604,600,600,600
6411.94125,646,604,600,600,600
6420.773125,646,604,600,600,600
6429.6050000000005,646,604,600,600,600
6438.436875,646,604,600,600,600
6447.26875,646,604,600,600,600
6456.100625,646,604,600,600,600
6464.9325,646,604,600,600,600
6473.764375,646,604,600,600,600
6482.5962500000005,646,604,600,600,600
6491.428125,646,604,600,600,600
6500.26,646,604,600,600,600
6509.091875,646,604,600,600,600
6517.92375,646,604,600,600,600
6526.755625,646,604,600,600,600
6535.587500000001,646,604,600,600,600
6544.419375,646,604,600,600,600
6553.25125,646,604,600,600,600
6562.083125,646,604,600,600,600
6570.915,646,604,600,600,600
6579.746875,646,604,600,600,600
6588.57875,646,604,600,600,600
6597.410625,646,604,600,600,600
6606.2425,646,604,600,600,600
6615.074375,646,604,600,600,600
6623.90625,646,604,600,600,600
6632.738125,646,604,600,600,600
6641.57,646,604,600,600,600
6650.4018750000005,646,604,600,600,600
6659.23375,646,604,600,600,600
6668.065625,646,604,600,600,600
6676.8975,646,604,600,600,600
6685.729375,646,604,600,600,600
6694.56125,646,604,600,600,600
6703.3931250000005,646,604,600,600,600
6712.225,646,604,600,600,600
6721.056875,646,604,600,600,600
6729.88875,646,604,600,600,600
6738.720625,646,604,600,600,600
6747.5525,646,604,600,600,600
6756.384375000001,646,604,600,600,600
